Sizes set; Q; Iterations; V0; V1; V2; V3; V4; V5; V6
6,6,4,5,5,4;373;10;  v10,v13,v5,v2,v11,v23; v21,v0,v27,v28,v4,v22; v15,v16,v19,v3; v6,v9,v25,v29,v18; v8,v7,v12,v17,v26; v1,v14,v20,v24;
6,6,4,6,4,4;372;12;  v4,v22,v3,v27,v16,v17; v21,v0,v11,v23,v13,v2; v15,v19,v1,v28; v5,v6,v9,v25,v29,v10; v12,v8,v26,v18; v7,v14,v24,v20;
6,6,5,4,4,5;372;10;  v10,v4,v13,v22,v20,v2; v21,v0,v27,v28,v7,v14; v1,v15,v16,v19,v3; v12,v5,v8,v26; v17,v24,v23,v11; v9,v29,v6,v25,v18;
6,6,5,4,5,4;369;11;  v10,v4,v13,v22,v6,v2; v21,v0,v11,v27,v7,v25; v1,v15,v16,v19,v3; v12,v5,v8,v26; v17,v14,v24,v20,v23; v9,v29,v18,v28;
6,6,5,5,4,4;366;13;  v10,v4,v13,v22,v20,v2; v21,v0,v27,v7,v14,v25; v1,v15,v3,v5,v29; v12,v8,v26,v18,v16; v17,v24,v23,v11; v9,v6,v28,v19;
6,6,6,4,4,4;369;11;  v10,v4,v13,v22,v6,v2; v21,v0,v27,v7,v14,v25; v1,v15,v16,v19,v20,v3; v12,v5,v8,v26; v17,v24,v23,v11; v9,v29,v18,v28;
6,7,4,4,4,5;364;10;  v10,v4,v13,v22,v6,v3; v21,v0,v11,v27,v29,v25,v7; v15,v5,v12,v18; v24,v9,v14,v20; v1,v19,v26,v28; v8,v17,v16,v23,v2;
6,7,4,4,5,4;362;11;  v10,v4,v13,v22,v6,v3; v21,v0,v11,v27,v29,v25,v7; v15,v2,v5,v12; v24,v9,v14,v20; v1,v19,v26,v28,v18; v8,v16,v17,v23;
6,7,4,5,4,4;362;9;  v10,v4,v13,v22,v6,v3; v21,v0,v11,v27,v29,v25,v7; v15,v2,v5,v12; v24,v9,v14,v20,v23; v1,v19,v26,v28; v8,v16,v17,v18;
6,7,5,4,4,4;359;13;  v10,v4,v13,v22,v6,v2; v21,v0,v27,v29,v25,v7,v14; v15,v1,v5,v12,v3; v20,v9,v24,v28; v8,v17,v23,v11; v19,v26,v16,v18;
7,4,4,4,4,7;360;12;  v10,v2,v13,v22,v6,v11,v5; v23,v0,v21,v28; v3,v15,v29,v1; v20,v24,v14,v9; v27,v12,v4,v18; v7,v8,v16,v17,v19,v26,v25;
7,4,4,4,5,6;367;9;  v10,v2,v13,v22,v6,v11,v5; v23,v0,v21,v28; v3,v15,v27,v29; v20,v24,v4,v7; v1,v9,v14,v19,v25; v8,v16,v17,v26,v18,v12;
7,4,4,4,6,5;366;12;  v10,v2,v13,v22,v6,v11,v5; v0,v21,v14,v25; v3,v15,v27,v29; v20,v24,v4,v23; v1,v9,v19,v26,v28,v7; v8,v17,v16,v18,v12;
7,4,4,4,7,4;364;12;  v10,v2,v4,v13,v22,v6,v5; v23,v0,v11,v21; v3,v15,v27,v29; v20,v24,v14,v1; v9,v19,v25,v26,v28,v18,v7; v8,v16,v17,v12;
7,4,4,5,4,6;372;8;  v10,v2,v4,v13,v22,v28,v9; v23,v0,v21,v14; v3,v27,v29,v24; v5,v1,v12,v20,v15; v8,v16,v26,v18; v6,v7,v17,v25,v19,v11;
7,4,4,5,5,5;372;10;  v10,v2,v13,v22,v28,v9,v6; v23,v11,v21,v25; v3,v27,v29,v4; v5,v1,v12,v20,v15; v8,v16,v19,v26,v18; v7,v14,v17,v0,v24;
7,4,4,5,6,4;370;11;  v10,v2,v13,v22,v28,v9,v6; v0,v21,v14,v7; v3,v27,v29,v4; v5,v1,v12,v20,v15; v8,v16,v19,v25,v26,v18; v17,v11,v23,v24;
7,4,4,6,4,5;369;7;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v21,v28; v3,v15,v27,v29; v5,v1,v12,v14,v20,v24; v9,v19,v25,v18; v7,v8,v17,v26,v16;
7,4,4,6,5,4;370;8;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v21,v28; v3,v15,v27,v29; v5,v1,v12,v14,v20,v24; v9,v19,v25,v18,v7; v8,v17,v26,v16;
7,4,4,7,4,4;369;9;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v21,v28; v3,v15,v27,v29; v5,v1,v12,v14,v20,v24,v26; v8,v25,v18,v9; v7,v19,v16,v17;
7,4,5,4,4,6;367;10;  v10,v2,v4,v13,v22,v28,v9; v23,v14,v24,v20; v3,v27,v29,v21,v0; v5,v1,v12,v15; v8,v16,v26,v18; v6,v7,v17,v25,v19,v11;
7,4,5,4,5,5;370;12;  v10,v2,v13,v22,v28,v9,v6; v23,v21,v24,v14; v3,v15,v27,v29,v4; v5,v1,v12,v20; v8,v16,v26,v18,v17; v7,v0,v11,v25,v19;
7,4,5,4,6,4;367;15;  v10,v2,v13,v22,v28,v9,v6; v0,v7,v11,v25; v3,v15,v27,v29,v21; v5,v1,v12,v18; v8,v16,v19,v26,v17,v4; v23,v24,v14,v20;
7,4,5,5,4,5;373;8;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v28,v24; v3,v15,v27,v29,v21; v5,v1,v12,v14,v20; v9,v19,v25,v18; v7,v8,v17,v26,v16;
7,4,5,5,5,4;374;9;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v28,v24; v3,v15,v27,v29,v21; v5,v1,v12,v14,v20; v9,v19,v25,v18,v7; v8,v17,v26,v16;
7,4,5,6,4,4;365;14;  v10,v2,v4,v13,v22,v6,v11; v23,v24,v17,v8; v27,v29,v21,v25,v0; v5,v1,v12,v14,v20,v15; v18,v9,v3,v16; v7,v19,v26,v28;
7,4,6,4,4,5;367;15;  v10,v2,v13,v22,v5,v11,v15; v23,v0,v21,v28; v24,v27,v4,v20,v7,v14; v9,v29,v6,v25; v8,v17,v16,v19; v1,v12,v18,v3,v26;
7,4,6,4,5,4;365;16;  v10,v2,v13,v22,v6,v11,v5; v23,v0,v28,v21; v3,v15,v27,v29,v12,v1; v20,v4,v24,v14; v8,v17,v26,v16,v19; v25,v9,v7,v18;
7,4,6,5,4,4;364;16;  v10,v2,v4,v13,v22,v6,v11; v0,v18,v25,v21; v3,v15,v27,v29,v12,v5; v14,v20,v24,v9,v1; v19,v26,v28,v7; v8,v17,v23,v16;
7,4,7,4,4,4;362;15;  v10,v2,v13,v22,v6,v11,v25; v0,v21,v28,v7; v3,v15,v27,v29,v12,v5,v1; v14,v20,v24,v23; v19,v26,v18,v9; v8,v17,v16,v4;
7,5,4,4,4,6;359;13;  v10,v2,v13,v22,v5,v11,v6; v0,v28,v19,v7,v25; v17,v16,v4,v8; v3,v15,v27,v29; v12,v18,v26,v1; v24,v20,v14,v23,v21,v9;
7,5,4,4,5,5;361;12;  v10,v2,v13,v22,v5,v11,v6; v0,v28,v19,v25,v7; v17,v16,v4,v8; v3,v15,v27,v29; v1,v9,v12,v18,v26; v24,v20,v14,v23,v21;
7,5,4,4,6,4;359;14;  v10,v2,v13,v22,v5,v11,v6; v0,v28,v25,v7,v19; v17,v16,v4,v27; v3,v15,v29,v21; v1,v9,v12,v18,v8,v26; v24,v20,v14,v23;
7,5,4,5,4,5;357;13;  v10,v2,v13,v22,v5,v11,v6; v0,v28,v19,v25,v7; v17,v16,v4,v8; v3,v15,v27,v29,v21; v1,v12,v18,v26; v24,v20,v14,v23,v9;
7,5,4,5,5,4;361;14;  v10,v2,v13,v22,v5,v11,v6; v0,v28,v25,v7,v19; v17,v16,v4,v27; v3,v9,v15,v29,v21; v1,v12,v18,v8,v26; v24,v20,v14,v23;
7,5,4,6,4,4;364;17;  v10,v2,v13,v22,v5,v11,v6; v23,v14,v24,v20,v1; v17,v4,v7,v0; v3,v15,v27,v29,v21,v25; v12,v18,v8,v26; v28,v9,v19,v16;
7,5,5,4,4,5;371;10;  v10,v2,v4,v13,v22,v6,v5; v23,v0,v11,v21,v28; v16,v19,v8,v25,v27; v14,v20,v7,v17; v9,v3,v24,v29; v1,v12,v15,v26,v18;
7,5,5,4,5,4;371;11;  v10,v2,v4,v13,v22,v6,v5; v23,v0,v11,v21,v28; v16,v19,v8,v25,v27; v14,v20,v7,v17; v9,v3,v24,v29,v15; v12,v26,v18,v1;
7,5,5,5,4,4;368;13;  v10,v2,v4,v13,v22,v3,v6; v23,v0,v11,v21,v28; v17,v16,v19,v8,v26; v27,v14,v20,v7,v24; v9,v29,v18,v25; v15,v5,v12,v1;
7,5,6,4,4,4;366;9;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v21,v28,v7; v17,v16,v19,v26,v18,v8; v27,v25,v29,v3; v9,v14,v20,v24; v5,v1,v15,v12;
7,6,4,4,4,5;359;15;  v10,v2,v13,v22,v6,v5,v11; v0,v21,v28,v25,v7,v27; v16,v8,v17,v19; v3,v9,v15,v29; v1,v12,v26,v18; v24,v20,v14,v23,v4;
7,6,4,4,5,4;360;15;  v10,v2,v13,v22,v6,v11,v5; v23,v17,v14,v24,v20,v7; v16,v27,v4,v8; v3,v9,v15,v29; v1,v12,v19,v18,v26; v28,v0,v21,v25;
7,6,4,5,4,4;374;13;  v10,v2,v13,v22,v6,v19,v11; v23,v0,v17,v21,v14,v24; v16,v27,v4,v25; v3,v9,v29,v28,v18; v5,v12,v15,v1; v20,v26,v7,v8;
7,6,5,4,4,4;361;12;  v10,v2,v4,v13,v22,v6,v11; v0,v17,v28,v7,v19,v26; v16,v25,v18,v8,v9; v14,v20,v24,v23; v3,v29,v21,v27; v15,v5,v12,v1;
7,7,4,4,4,4;364;11;  v10,v2,v4,v13,v22,v6,v11; v23,v0,v17,v24,v28,v7,v14; v3,v15,v29,v9; v12,v1,v5,v20; v25,v21,v8,v27; v26,v19,v18,v16;
4,4,4,4,4,4,6;383;9;  v4,v22,v3,v27; v18,v0,v12,v28; v15,v2,v5,v10; v21,v11,v13,v23; v20,v14,v24,v1; v29,v6,v9,v25; v19,v7,v16,v17,v26,v8
4,4,4,4,4,5,5;379;12;  v4,v22,v3,v27; v0,v28,v7,v19; v15,v2,v5,v10; v21,v11,v13,v23; v20,v14,v24,v1; v29,v6,v9,v25,v18; v16,v17,v8,v26,v12
4,4,4,4,4,6,4;379;12;  v4,v22,v3,v27; v0,v28,v7,v17; v15,v2,v5,v10; v21,v11,v13,v23; v20,v14,v24,v1; v29,v6,v9,v25,v19,v18; v8,v16,v26,v12
4,4,4,4,5,4,5;389;11;  v4,v22,v3,v16; v18,v0,v12,v28; v15,v2,v5,v10; v21,v11,v13,v23; v20,v9,v14,v24,v1; v29,v6,v25,v27; v19,v7,v17,v8,v26
4,4,4,4,5,5,4;384;13;  v4,v22,v3,v27; v18,v12,v26,v1; v15,v2,v5,v10; v21,v11,v13,v23; v20,v14,v24,v28,v7; v29,v6,v25,v19,v9; v8,v17,v16,v0
4,4,4,4,6,4,4;384;15;  v4,v22,v17,v8; v0,v28,v7,v19; v15,v2,v5,v10; v21,v11,v13,v23; v20,v9,v14,v24,v1,v3; v29,v6,v25,v27; v26,v16,v18,v12
4,4,4,5,4,4,5;393;11;  v4,v22,v3,v16; v18,v0,v12,v28; v15,v1,v5,v10; v21,v11,v13,v23,v2; v20,v9,v14,v24; v29,v6,v25,v27; v19,v7,v17,v8,v26
4,4,4,5,4,5,4;390;13;  v4,v22,v3,v27; v18,v12,v26,v1; v15,v5,v28,v10; v11,v13,v23,v2,v19; v20,v9,v14,v24; v29,v25,v0,v21,v7; v8,v17,v16,v6
4,4,4,5,5,4,4;388;15;  v4,v22,v3,v28; v18,v12,v26,v8; v15,v2,v5,v10; v21,v11,v13,v23,v0; v20,v9,v14,v24,v1; v29,v6,v25,v27; v19,v7,v17,v16
4,4,4,6,4,4,4;382;15;  v4,v22,v3,v16; v0,v28,v7,v19; v15,v2,v5,v10; v21,v27,v29,v25,v6,v9; v20,v14,v24,v13; v8,v17,v23,v11; v26,v1,v12,v18
4,4,5,4,4,4,5;383;13;  v10,v4,v22,v6; v18,v8,v26,v16; v15,v1,v5,v12,v20; v27,v21,v29,v3; v9,v19,v28,v24; v23,v11,v13,v2; v7,v14,v17,v25,v0
4,4,5,4,4,5,4;387;13;  v10,v4,v22,v6; v18,v8,v26,v16; v15,v1,v5,v12,v20; v27,v21,v29,v3; v9,v19,v28,v24; v23,v11,v13,v17,v2; v7,v14,v25,v0
4,4,5,4,5,4,4;381;15;  v10,v4,v22,v6; v18,v8,v25,v16; v15,v1,v5,v12,v26; v27,v21,v29,v3; v9,v24,v20,v14,v17; v7,v0,v19,v28; v11,v13,v23,v2
4,4,5,5,4,4,4;385;10;  v10,v4,v22,v6; v18,v12,v8,v26; v15,v1,v2,v5,v3; v27,v21,v25,v29,v0; v9,v19,v28,v16; v11,v13,v17,v23; v7,v14,v20,v24
4,4,6,4,4,4,4;383;15;  v10,v4,v22,v13; v24,v20,v14,v23; v15,v1,v2,v5,v26,v12; v8,v18,v16,v9; v21,v29,v3,v27; v7,v17,v0,v28; v6,v19,v25,v11
4,5,4,4,4,4,5;383;13;  v10,v4,v22,v6; v18,v12,v8,v26,v16; v15,v5,v1,v20; v27,v21,v29,v3; v9,v19,v28,v25; v23,v11,v13,v2; v7,v14,v17,v24,v0
4,5,4,4,4,5,4;387;13;  v10,v4,v22,v6; v18,v12,v26,v8,v16; v15,v5,v1,v20; v27,v21,v29,v3; v9,v19,v28,v24; v23,v11,v13,v17,v2; v7,v14,v25,v0
4,5,4,4,5,4,4;383;15;  v10,v4,v22,v6; v18,v12,v8,v26,v16; v15,v5,v1,v20; v27,v21,v29,v3; v19,v28,v25,v7,v0; v14,v17,v24,v9; v11,v13,v23,v2
4,5,4,5,4,4,4;385;11;  v10,v4,v22,v6; v1,v8,v26,v19,v16; v15,v2,v5,v12; v27,v21,v25,v29,v0; v9,v28,v3,v18; v11,v13,v17,v23; v7,v14,v20,v24
4,5,5,4,4,4,4;383;14;  v10,v4,v22,v28; v18,v3,v29,v9,v6; v15,v5,v26,v12,v1; v8,v27,v16,v17; v13,v23,v2,v11; v24,v7,v14,v20; v19,v25,v0,v21
4,6,4,4,4,4,4;387;17;  v10,v22,v13,v6; v16,v27,v8,v17,v26,v7; v15,v2,v5,v12; v9,v18,v3,v29; v21,v23,v0,v28; v24,v14,v20,v4; v19,v25,v11,v1
5,4,4,4,4,4,5;388;14;  v10,v22,v2,v6,v5; v3,v15,v21,v29; v12,v8,v27,v26; v0,v16,v17,v4; v24,v9,v28,v18; v7,v19,v25,v11; v13,v20,v14,v1,v23
5,4,4,4,4,5,4;378;16;  v10,v22,v2,v13,v6; v3,v21,v27,v29; v12,v5,v15,v1; v16,v17,v4,v8; v9,v26,v18,v28; v7,v19,v25,v11,v0; v20,v24,v23,v14
5,4,4,4,5,4,4;386;16;  v10,v22,v6,v2,v5; v3,v15,v21,v29; v12,v8,v26,v18; v16,v17,v4,v27; v24,v9,v28,v23,v0; v1,v13,v14,v20; v7,v25,v11,v19
5,4,4,5,4,4,4;399;13;  v10,v4,v22,v28,v0; v3,v21,v27,v29; v12,v5,v15,v2; v11,v17,v23,v8,v13; v6,v19,v18,v16; v25,v1,v26,v7; v24,v20,v14,v9
5,4,5,4,4,4,4;386;14;  v10,v4,v22,v13,v6; v21,v27,v29,v25; v12,v5,v8,v26,v18; v9,v19,v28,v16; v1,v20,v3,v15; v7,v14,v17,v0; v11,v23,v24,v2
5,5,4,4,4,4,4;388;15;  v10,v4,v22,v13,v6; v21,v27,v29,v25,v14; v12,v5,v26,v18; v16,v9,v8,v17; v1,v20,v15,v3; v7,v28,v0,v19; v11,v23,v24,v2
6,4,4,4,4,4,4;390;16;  v10,v4,v13,v22,v2,v6; v21,v0,v14,v7; v15,v5,v29,v3; v1,v9,v20,v18; v23,v24,v11,v17; v8,v12,v27,v25; v19,v26,v16,v28
;336;6;;;;;;;
